,precision,recall,f1-score,support
LDPE,0.738562091503268,0.37666666666666665,0.4988962472406181,600.0
PLA,0.6823104693140795,0.9434276206322796,0.7918994413407822,601.0
PP,0.7440633245382586,0.46921797004991683,0.5755102040816327,601.0
PS,0.8692098092643051,0.5307820299500832,0.6590909090909091,601.0
PVC,0.6869047619047619,0.9600665557404326,0.8008327550312283,601.0
XPS,0.9823874755381604,0.8338870431893688,0.9020664869721473,602.0
oxo-PE,0.6986089644513137,0.7495854063018242,0.7232,603.0
uv-PE,0.5161290322580645,0.7973421926910299,0.6266318537859008,602.0
accuracy,0.7077530658906672,0.7077530658906672,0.7077530658906672,0.7077530658906672
macro avg,0.7397719910965264,0.7076219356527003,0.6972659871929023,4811.0
weighted avg,0.7397590741087705,0.7077530658906672,0.6973458882803973,4811.0
