,precision,recall,f1-score,support
LDPE,0.7026627218934911,0.7916666666666666,0.7445141065830722,600.0
PLA,0.9472,0.9850249584026622,0.965742251223491,601.0
PP,0.939453125,0.800332778702163,0.8643306379155435,601.0
PS,0.990791896869245,0.8951747088186356,0.9405594405594405,601.0
PVC,0.9538188277087034,0.8935108153078203,0.9226804123711341,601.0
XPS,1.0,0.9584717607973422,0.9787955894826124,602.0
oxo-PE,0.8903703703703704,0.9966832504145937,0.9405320813771518,603.0
uv-PE,0.76875,0.8172757475083057,0.7922705314009661,602.0
accuracy,0.8923300769070879,0.8923300769070879,0.8923300769070879,0.8923300769070879
macro avg,0.8991308677302262,0.8922675858272736,0.8936781313641765,4811.0
weighted avg,0.8991619289265798,0.8923300769070879,0.893725227972566,4811.0
