,precision,recall,f1-score,support
LDPE,0.49707602339181284,0.425,0.4582210242587601,600.0
PLA,0.5004712535344015,0.8835274542429284,0.6389891696750902,601.0
PP,0.636604774535809,0.39933444259567386,0.49079754601226994,601.0
PS,0.2914285714285714,0.33943427620632277,0.31360491929285167,601.0
PVC,0.7036290322580645,0.5806988352745425,0.6362807657247037,601.0
XPS,0.5926544240400667,0.5897009966777409,0.5911740216486261,602.0
oxo-PE,0.37797246558197745,0.5008291873963516,0.43081312410841655,603.0
uv-PE,0.37593984962406013,0.16611295681063123,0.2304147465437788,602.0
accuracy,0.48555393889004367,0.48555393889004367,0.48555393889004367,0.48555393889004367
macro avg,0.4969720492993454,0.48557976865052394,0.47378691465806216,4811.0
weighted avg,0.4969172887575741,0.48555393889004367,0.47374609845523036,4811.0
