,precision,recall,f1-score,support
LDPE,0.8233151183970856,0.7533333333333333,0.7867711053089643,600.0
PLA,0.8691860465116279,0.9950083194675541,0.9278510473235065,601.0
PP,0.9476861167002012,0.78369384359401,0.8579234972677595,601.0
PS,0.9633333333333334,0.961730449251248,0.9625312239800167,601.0
PVC,0.9931623931623932,0.9667221297836939,0.9797639123102867,601.0
XPS,0.9983388704318937,0.9983388704318937,0.9983388704318937,602.0
oxo-PE,0.9676898222940227,0.9933665008291874,0.9803600654664485,603.0
uv-PE,0.7839046199701938,0.8737541528239202,0.826394344069128,602.0
accuracy,0.9158179172729163,0.9158179172729163,0.9158179172729163,0.9158179172729163
macro avg,0.9183270401000939,0.9157434499393551,0.9149917582697505,4811.0
weighted avg,0.9183560001699947,0.9158179172729163,0.9150444930370163,4811.0
