,precision,recall,f1-score,support
LDPE,0.7151702786377709,0.77,0.7415730337078652,600.0
PLA,0.922360248447205,0.9883527454242929,0.9542168674698795,601.0
PP,0.9745370370370371,0.7004991680532446,0.8151016456921588,601.0
PS,0.9945054945054945,0.9034941763727121,0.946817785527463,601.0
PVC,0.9523026315789473,0.9633943427620633,0.9578163771712159,601.0
XPS,0.9785478547854786,0.9850498338870431,0.9817880794701986,602.0
oxo-PE,0.9514563106796117,0.9751243781094527,0.9631449631449631,603.0
uv-PE,0.7172995780590717,0.8471760797342193,0.7768469154607769,602.0
accuracy,0.8917065059239243,0.8917065059239243,0.8917065059239243,0.8917065059239243
macro avg,0.9007724292163272,0.8916363405428784,0.8921632084555652,4811.0
weighted avg,0.9008101079708306,0.8917065059239243,0.8922186776432903,4811.0
