,precision,recall,f1-score,support
LDPE,0.8166666666666667,0.5716666666666667,0.6725490196078432,600.0
PLA,0.8335664335664336,0.9916805324459235,0.9057750759878419,601.0
PP,0.7361319340329835,0.8169717138103162,0.7744479495268138,601.0
PS,0.9001919385796545,0.7803660565723793,0.8360071301247772,601.0
PVC,0.8162962962962963,0.9168053244592346,0.8636363636363636,601.0
XPS,0.9317803660565723,0.9302325581395349,0.9310058187863675,602.0
oxo-PE,0.8713826366559485,0.8988391376451078,0.8848979591836734,603.0
uv-PE,0.6847457627118644,0.6710963455149501,0.6778523489932886,602.0
accuracy,0.8222822697983787,0.8222822697983787,0.8222822697983787,0.8222822697983787
macro avg,0.8238452543208025,0.8222072919067641,0.8182714582308712,4811.0
weighted avg,0.8238600306609503,0.8222822697983787,0.818323690758796,4811.0
