,precision,recall,f1-score,support
LDPE,0.6952526799387443,0.7566666666666667,0.7246608140462889,600.0
PLA,0.9376,0.9750415973377704,0.9559543230016313,601.0
PP,0.904572564612326,0.757071547420965,0.8242753623188406,601.0
PS,0.9471766848816029,0.8652246256239601,0.9043478260869565,601.0
PVC,0.9323770491803278,0.757071547420965,0.8356290174471993,601.0
XPS,1.0,0.9667774086378738,0.9831081081081081,602.0
oxo-PE,0.7986013986013986,0.9469320066334992,0.866464339908953,603.0
uv-PE,0.7442528735632183,0.8604651162790697,0.7981510015408321,602.0
accuracy,0.8607358137601331,0.8607358137601331,0.8607358137601331,0.8607358137601331
macro avg,0.8699791563472021,0.8606563145025963,0.8615738490573512,4811.0
weighted avg,0.8699866943895604,0.8607358137601331,0.8616164192981012,4811.0
