,precision,recall,f1-score,support
LDPE,0.7299412915851272,0.6216666666666667,0.6714671467146714,600.0
PLA,0.9516666666666667,0.9500831946755408,0.9508742714404663,601.0
PP,0.815068493150685,0.7920133111480865,0.8033755274261604,601.0
PS,0.9098939929328622,0.8569051580698835,0.882604970008569,601.0
PVC,0.8469696969696969,0.930116472545757,0.8865979381443299,601.0
XPS,0.9565217391304348,0.9867109634551495,0.9713818479149632,602.0
oxo-PE,0.9028776978417267,0.8325041459369817,0.8662640207075065,603.0
uv-PE,0.6942496493688639,0.8222591362126246,0.752851711026616,602.0
accuracy,0.8490958220744128,0.8490958220744128,0.8490958220744128,0.8490958220744128
macro avg,0.8508986534557579,0.8490323810888363,0.8481771791729102,4811.0
weighted avg,0.8509347976112829,0.8490958220744128,0.8482272234290158,4811.0
