,precision,recall,f1-score,support
LDPE,0.7976653696498055,0.6833333333333333,0.7360861759425493,600.0
PLA,0.930379746835443,0.978369384359401,0.9537712895377128,601.0
PP,0.844758064516129,0.697171381031614,0.763901549680948,601.0
PS,0.8869565217391304,0.848585690515807,0.8673469387755102,601.0
PVC,0.9064327485380117,0.7737104825291181,0.8348294434470377,601.0
XPS,0.9476268412438625,0.9617940199335548,0.9546578730420445,602.0
oxo-PE,0.8020833333333334,0.8938640132669984,0.8454901960784313,603.0
uv-PE,0.6115288220551378,0.8106312292358804,0.6971428571428572,602.0
accuracy,0.8310122635626689,0.8310122635626689,0.8310122635626689,0.8310122635626689
macro avg,0.8409289309888566,0.8309324417757133,0.8316532904558864,4811.0
weighted avg,0.8408962704541132,0.8310122635626689,0.8316765153727501,4811.0
